boys,girls,size,freq
0,1,1,108719
0,2,2,42860
0,3,3,17395
0,4,4,7004
0,5,5,2839
0,6,6,1096
0,7,7,436
0,8,8,161
0,9,9,66
0,10,10,30
0,11,11,8
0,12,12,3
1,0,1,114609
1,1,2,89213
1,2,3,53789
1,3,4,28101
1,4,5,13740
1,5,6,6233
1,6,7,2719
1,7,8,1152
1,8,9,432
1,9,10,151
1,10,11,72
1,11,12,24
2,0,2,47819
2,1,3,57179
2,2,4,44793
2,3,5,28630
2,4,6,15700
2,5,7,8171
2,6,8,3951
2,7,9,1776
2,8,10,722
2,9,11,275
2,10,12,104
3,0,3,20540
3,1,4,31611
3,2,5,30175
3,3,6,22221
3,4,7,13972
3,5,8,7603
3,6,9,3895
3,7,10,1783
3,8,11,837
3,9,12,286
4,0,4,8628
4,1,5,16340
4,2,6,17332
4,3,7,14479
4,4,8,10263
4,5,9,5917
4,6,10,3072
4,7,11,1540
4,8,12,670
5,0,5,3666
5,1,6,7908
5,2,7,9547
5,3,8,8498
5,4,9,6436
5,5,10,3878
5,6,11,2161
5,7,12,1033
6,0,6,1579
6,1,7,3725
6,2,8,4948
6,3,9,4757
6,4,10,3470
6,5,11,2310
6,6,12,1343
7,0,7,631
7,1,8,1655
7,2,9,2418
7,3,10,2309
7,4,11,1801
7,5,12,1112
8,0,8,264
8,1,9,713
8,2,10,1027
8,3,11,1077
8,4,12,829
9,0,9,90
9,1,10,287
9,2,11,492
9,3,12,478
10,0,10,30
10,1,11,93
10,2,12,181
11,0,11,24
11,1,12,45
12,0,12,7
